AB de Villiers,12,11,2,480,90,53.33,275,174.54
Quinton de Kock,8,8,0,201,53,25.12,162,124.07
Rahul Tewatia,8,5,2,50,24,16.66,43,116.27
Rahul Tripathi,12,12,3,226,80,25.11,167,135.32
Rashid Khan,17,7,2,59,34,11.8,31,190.32
Ravichandran Ashwin,14,9,1,102,45,12.75,71,143.66
Ravindra Jadeja,16,10,5,89,27,17.8,74,120.27
Rinku Singh,4,4,0,29,16,7.25,31,93.54
Rishabh Pant,14,14,1,684,128,52.61,394,173.6
Tim Southee,8,4,2,52,36,26,46,113.04
Tom Curran,5,4,1,23,18,7.66,28,82.14
Vijay Shankar,13,11,7,212,54,53,148,143.24
Virat Kohli,14,14,3,530,92,48.18,381,139.1
Washington Sundar,7,6,3,65,35,21.66,38,171.05
Wriddhiman Saha,11,10,2,122,35,15.25,102,119.6
Yusuf Pathan,15,13,4,260,45,28.88,200,130
Yuvraj Singh,8,6,0,65,20,10.83,73,89.04

